Issue Type,Summary,Issue Key,Epic,Sprint,Priority,Story Points,Owner Team,Dependencies,Acceptance Criteria Summary
Story,Add KPI cards for procurement and treasury,ROL-804,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 8,P1,3,Platform Shared,RPT-601,New KPI cards appear in relevant dashboards and reports.
Story,Run pilot rollout by tenant cohorts,ROL-805,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 8,P0,5,QA and Controls,ROL-801|ROL-802,Pilot tenants complete one close cycle with no critical regressions.
Story,Add direct expense evidence reconciliation statuses,RECON-504,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 5,P1,3,Treasury Squad,TRSY-503,Direct expenses support matched not_matched and conflict reconciliation states.
Story,Add out-of-pocket classification and reimbursement linkage,RECON-505,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 5,P1,3,Treasury Squad,RECON-504,Out-of-pocket expenses are excluded from bank match until reimbursement payout exists.
Story,Add direct-expense auto-match heuristics,RECON-604,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 6,P1,3,Treasury Squad,RECON-504,Merchant text and date-window heuristics improve direct expense matching quality.
Story,Define shared UX copy dictionary and status language,UI-101,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 1,P0,2,Platform Shared,,Business-first labels and status terms are agreed and documented.
Story,Define lane-first navigation and screen map standards,UI-102,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 1,P0,3,Platform Shared,UI-101,Lane selection and route map are approved before page build starts.
Story,Add lane selector UX with helper text and defaults,UI-202,EPIC P1: Procurement Foundation,Sprint 2,P1,3,Procurement Squad,UI-102,Users can clearly choose PO Procurement or Direct Expense with plain-language helper text.
Story,Add reconciliation queue guided labels and next actions,UI-502,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 5,P1,3,Treasury Squad,RECON-501,Each exception row shows what happened and one clear next action.
Story,Run UX clarity pass and remove technical labels,UI-702,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 7,P1,3,QA and Controls,UI-101|UI-201|UI-502,User-facing pages do not expose internal status keys and remain action-oriented.
Story,Define code-comment standards for procurement and treasury modules,ENG-101,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 1,P0,2,Platform Shared,,Comment standard covers critical logic areas and review expectations.
Story,Add reviewer checklist for critical financial-control code paths,ENG-102,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 2,P1,2,Platform Shared,ENG-101,PR checklist includes mandatory comment clarity checks on high-risk code.
Story,Audit comment coverage in reconciliation and matching services,ENG-601,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 6,P1,2,Treasury Squad,RECON-601|ENG-102,Matching and reconciliation services pass comment coverage audit.
Story,Validate code-comment clarity during release readiness review,QA-801,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 8,P1,2,QA and Controls,ENG-601,Release checklist confirms critical rule-path comments are clear and complete.
Story,Define tenant-config matrix for thresholds tolerances and guardrails,CFG-101,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 1,P0,3,Platform Shared,,Configuration matrix approved for all control-sensitive module behavior.
Story,Define and reuse standard Flowdesk modal template for new module dialogs,UI-103,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 1,P1,2,Platform Shared,UI-101,All new module modals follow existing Flowdesk modal structure and behavior.
Story,Build tenant settings pages for procurement and treasury controls,CFG-201,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 2,P0,5,Platform Shared,CFG-101,Thresholds tolerances and guardrails are editable from tenant-scoped settings pages.
Story,Wire runtime services to tenant-scoped settings with safe defaults,CFG-202,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 3,P0,5,Platform Shared,CFG-201,Services read tenant settings at runtime with fallback defaults and auditability.
Story,UX review for modal and form consistency against existing pattern,UI-503,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 5,P1,2,QA and Controls,UI-103|UI-502,Modal and form behavior matches established Flowdesk UI conventions.
